year,month,DATE,ICEN
2006,10,2006-10-01,0.94
2006,11,2006-11-01,0.86
2006,12,2006-12-01,0.72
2007,1,2007-01-01,0.5
2007,2,2007-02-01,0.05
2007,3,2007-03-01,-0.59
2007,4,2007-04-01,-1.22
2007,5,2007-05-01,-1.54
2007,6,2007-06-01,-1.46
2007,7,2007-07-01,-1.26
2007,8,2007-08-01,-1.05
2007,9,2007-09-01,-1.23
2007,10,2007-10-01,-1.41
2007,11,2007-11-01,-1.64
2007,12,2007-12-01,-1.29
2008,1,2008-01-01,-0.64
2008,2,2008-02-01,0.04
2008,3,2008-03-01,0.34
2008,4,2008-04-01,0.44
2008,5,2008-05-01,0.5
2008,6,2008-06-01,0.69
2008,7,2008-07-01,0.98
2008,8,2008-08-01,1.13
2008,9,2008-09-01,0.92
2008,10,2008-10-01,0.37
2008,11,2008-11-01,-0.12
2008,12,2008-12-01,-0.3
2009,1,2009-01-01,-0.43
2009,2,2009-02-01,-0.55
2009,3,2009-03-01,-0.36
2009,4,2009-04-01,-0.02
2009,5,2009-05-01,0.47
2009,6,2009-06-01,0.58
2009,7,2009-07-01,0.75
2009,8,2009-08-01,0.7
2009,9,2009-09-01,0.56
2009,10,2009-10-01,0.39
2009,11,2009-11-01,0.42
2009,12,2009-12-01,0.41
2010,1,2010-01-01,0.35
2010,2,2010-02-01,0.18
2010,3,2010-03-01,0.05
2010,4,2010-04-01,0.09
2010,5,2010-05-01,0.07
2010,6,2010-06-01,-0.24
2010,7,2010-07-01,-0.75
2010,8,2010-08-01,-1.16
2010,9,2010-09-01,-1.24
2010,10,2010-10-01,-1.25
2010,11,2010-11-01,-1.13
2010,12,2010-12-01,-0.88
2011,1,2011-01-01,-0.5
2011,2,2011-02-01,-0.5
2011,3,2011-03-01,-0.4
2011,4,2011-04-01,-0.31
2011,5,2011-05-01,0.08
2011,6,2011-06-01,0.18
2011,7,2011-07-01,0.08
2011,8,2011-08-01,-0.28
2011,9,2011-09-01,-0.59
2011,10,2011-10-01,-0.71
2011,11,2011-11-01,-0.67
2011,12,2011-12-01,-0.46
2012,1,2012-01-01,-0.15
2012,2,2012-02-01,0.11
2012,3,2012-03-01,0.47
2012,4,2012-04-01,0.65
2012,5,2012-05-01,0.94
2012,6,2012-06-01,0.77
2012,7,2012-07-01,0.5
